[ 2019-07-01T10:54:53+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2019-07-01T13:48:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2019-07-01T13:48:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2019-07-01T13:48:52+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:48:52+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.004000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.001000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [8] Use of undefined constant username - assumed 'username' LoginAction.class.php 第 25 行.
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT `userRole` FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.001000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.014000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_end ] --START--
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:48:57+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.010000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:04+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.003000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.000000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [8] Use of undefined constant username - assumed 'username' LoginAction.class.php 第 25 行.
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT `userRole` FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.000000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.011000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_end ] --START--
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:08+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2019-07-01T13:52:49+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --START--
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --START--
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --START--
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --START--
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Run ParseTemplate Behavior [ RunTime:0.012000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.012000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --START--
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --START--
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:50+08:00 ] /abcTest/index.php/Login/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --START--
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run CheckRoute Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ route_check ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --START--
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SHOW COLUMNS FROM `t_user` [ RunTime:0.005000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT * FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.001000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | NOTIC: [8] Use of undefined constant username - assumed 'username' LoginAction.class.php 第 25 行.
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | SQL: SELECT `userRole` FROM `t_user` WHERE userId ='777' LIMIT 1   [ RunTime:0.000000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --START--
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run LocationTemplate Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_template ] --END-- [ RunTime:0.002000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --START--
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ParseTemplate Behavior [ RunTime:0.016000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_filter ] --START--
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ContentReplace Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run TokenBuild Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Run ShowRuntime Behavior [ RunTime:0.002000s ]
[ 2019-07-01T13:52:53+08:00 ] /abcTest/index.php/Login/checkLogin | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006000s ]
